t,pbar,std_err,ds
1.000000000000000021e-03,9.940898776339442966e-01,5.954004438126270552e-05,1.643501302340861364e-02
1.416378040967938498e-03,9.917183840457266530e-01,8.808759950422992196e-05,1.643501302340861364e-02
2.006126754936177377e-03,9.884188512355103207e-01,9.304866887677066959e-05,2.420751888475654659e-02
2.841433883089870740e-03,9.833965743458412678e-01,1.565500813967373155e-04,3.582393437766123040e-02
4.024544556870757531e-03,9.761693928593383474e-01,2.225212803457940708e-04,4.995336348091453799e-02
5.700276535248783444e-03,9.664441961586983654e-01,3.970292828590480565e-04,6.874842424353017067e-02
8.073746511971180428e-03,9.530854855645666257e-01,4.872675703562766346e-04,9.334256759335959885e-02
1.143547726789747275e-02,9.355463937243704287e-01,4.645336944299293508e-04,1.359218450832231362e-01
1.619695889023802307e-02,9.090406454040628192e-01,1.035104949124527902e-03,1.935992133547120575e-01
2.294101690259358131e-02,8.745751993477482999e-01,1.070757379154831102e-03,2.694857868641437060e-01
3.249315257830787812e-02,8.276422646581076403e-01,1.635299993704638103e-03,3.766362063113876113e-01
4.602258779373603198e-02,7.671099272401542546e-01,2.196984652593595398e-03,5.257758965954657526e-01
6.518538273956682449e-02,6.892174884433366344e-01,2.941435465528058433e-03,7.132632912897821642e-01
9.232714470441298615e-02,5.984488544199884075e-01,3.532056818443561619e-03,1.000849253289196827e+00
1.307701403445998556e-01,4.864617686384469231e-01,4.116239320211107465e-03,1.283984110869248463e+00
1.852199551983868819e-01,3.827501491003588163e-01,6.461750220042759667e-03,1.652462182201152263e+00
2.623414772920605875e-01,2.736722914357470615e-01,6.862668399387498487e-03,2.166799148376206574e+00
3.715747076715636976e-01,1.800281585565372544e-01,6.135745628198302146e-03,2.277784450465475619e+00
5.262902565250843212e-01,1.238446447535054284e-01,4.148380584364497886e-03,2.243570932304871146e+00
7.454259625175126969e-01,8.244403030412279787e-02,5.366048484934566459e-03,1.722100338534358954e+00
1.055804964477195851e+00,6.800353766603642325e-02,6.212948031428361904e-03,1.359280231484495838e+00
1.495418967230434326e+00,5.136465041691440359e-02,5.096252305424555339e-03,1.634766298292878561e+00
2.118078587232140375e+00,3.849363016692492617e-02,3.238150947570420535e-03,1.612498842647418495e+00
3.000000000000000000e+00,2.930138007886105844e-02,3.280081735634635468e-03,1.612498842647418495e+00
